name,mass_msun,mdot_g_s,mdot_msun_yr,erd_erg_s_g,power_density_reported_wkg,category
2325+8205,0.75,1.05e+17,1.67e-09,14.5,0.00145,cataclysmic_variables
AB Dra,0.8,1.1e+17,1.75e-09,14.3,0.00143,cataclysmic_variables
AH Her,0.95,1.7e+17,2.7e-09,18.6,0.00186,cataclysmic_variables
AM Cas,0.55,9.5e+16,1.51e-09,17.9,0.00179,cataclysmic_variables
AQ Eri,0.65,1.4e+16,2.22e-10,2.24,0.000224,cataclysmic_variables
AR And,0.75,1e+17,1.59e-09,13.8,0.00138,cataclysmic_variables
AT Ara,0.53,1.6e+18,2.54e-08,313.0,0.0313,cataclysmic_variables
AT Cnc,0.75,2e+17,3.17e-09,27.7,0.00277,cataclysmic_variables
AY Lyr,0.75,4e+16,6.35e-10,5.54,0.000554,cataclysmic_variables
BD Pav,1.15,7000000000000000.0,1.11e-10,0.632,6.32e-05,cataclysmic_variables
BF Ara,0.67,7.5e+16,1.19e-09,11.6,0.00116,cataclysmic_variables
BF Eri,1.28,1.6e+16,2.54e-10,1.3,0.00013,cataclysmic_variables
BI Ori,0.75,5e+16,7.93e-10,6.92,0.000692,cataclysmic_variables
BV Cen,1.24,1.35e+17,2.14e-09,11.3,0.00113,cataclysmic_variables
BV Pup,0.75,1.75e+17,2.78e-09,24.2,0.00242,cataclysmic_variables
BX Pup,0.75,9e+16,1.43e-09,12.5,0.00125,cataclysmic_variables
BZ UMa,0.76,3600000000000000.0,5.71e-11,0.492,4.92e-05,cataclysmic_variables
CH UMa,1.26,1e+16,1.59e-10,0.824,8.24e-05,cataclysmic_variables
CN Ori,0.74,1e+18,1.59e-08,140.0,0.014,cataclysmic_variables
CW Mon,0.75,4e+16,6.35e-10,5.54,0.000554,cataclysmic_variables
CY Lyr,0.75,1.7e+17,2.7e-09,23.5,0.00235,cataclysmic_variables
CY UMa,0.69,1.05e+16,1.67e-10,1.58,0.000158,cataclysmic_variables
CZ Ori,0.55,2.3e+17,3.65e-09,43.4,0.00434,cataclysmic_variables
DI UMa,0.75,2.2e+16,3.49e-10,3.04,0.000304,cataclysmic_variables
DO Dra,0.83,2100000000000000.0,3.33e-11,0.263,2.63e-05,cataclysmic_variables
