name,mass_msun_dubus,mass_msun_err,mdot_g_s_lo,mdot_g_s_hi,dubus_table,source
2325+8205,0.75,0.07,6e+16,1.5e+17,A2,Dubus+2018_AA617_A26
AB Dra,0.8,0.16,8e+16,1.3999999999999998e+17,A2,Dubus+2018_AA617_A26
AH Her,0.95,0.1,1.5e+17,1.9e+17,A2,Dubus+2018_AA617_A26
AM Cas,0.55,0.11,6.999999999999999e+16,1.2e+17,A2,Dubus+2018_AA617_A26
AQ Eri,0.65,0.13,9000000000000000.0,1.9e+16,A2,Dubus+2018_AA617_A26
AR And,0.75,0.15,6.999999999999999e+16,1.3e+17,A2,Dubus+2018_AA617_A26
AT Ara,0.53,0.14,1.1000000000000001e+18,2.1e+18,A2,Dubus+2018_AA617_A26
AT Cnc,0.75,0.15,6.999999999999999e+16,3.3e+17,A2,Dubus+2018_AA617_A26
AY Lyr,0.75,0.15,3e+16,5e+16,A2,Dubus+2018_AA617_A26
BD Pav,1.15,0.07,6000000000000000.0,8000000000000000.0,A2,Dubus+2018_AA617_A26
BF Ara,0.67,0.13,2e+16,1.3e+17,A2,Dubus+2018_AA617_A26
BF Eri,1.28,0.05,1.5e+16,1.7e+16,A2,Dubus+2018_AA617_A26
BI Ori,0.75,0.15,2e+16,8e+16,A2,Dubus+2018_AA617_A26
BV Cen,1.24,0.22,1e+17,1.7e+17,A2,Dubus+2018_AA617_A26
BV Pup,0.75,0.15,9e+16,2.6e+17,A2,Dubus+2018_AA617_A26
BX Pup,0.75,0.15,3e+16,1.5e+17,A2,Dubus+2018_AA617_A26
BZ UMa,0.76,0.15,2400000000000000.0,4800000000000000.0,A2,Dubus+2018_AA617_A26
CH UMa,1.26,0.18,8000000000000000.0,1.2e+16,A2,Dubus+2018_AA617_A26
CN Ori,0.74,0.1,5e+17,1.5e+18,A2,Dubus+2018_AA617_A26
CW Mon,0.75,0.15,2e+16,6e+16,A2,Dubus+2018_AA617_A26
CY Lyr,0.75,0.15,1e+17,2.4e+17,A2,Dubus+2018_AA617_A26
CY UMa,0.69,0.14,7000000000000000.0,1.4e+16,A2,Dubus+2018_AA617_A26
CZ Ori,0.55,0.11,1.7e+17,2.9e+17,A2,Dubus+2018_AA617_A26
DI UMa,0.75,0.15,8000000000000000.0,3.6e+16,A2,Dubus+2018_AA617_A26
DO Dra,0.83,0.1,1800000000000000.0,2400000000000000.0,A2,Dubus+2018_AA617_A26
DX And,0.75,0.07,9e+16,1.7e+17,A2,Dubus+2018_AA617_A26
EI Psc,0.65,0.11,400000000000000.0,600000000000000.0,A2,Dubus+2018_AA617_A26
EM Cyg,1.0,0.06,5e+17,1.6e+18,A2,Dubus+2018_AA617_A26
ER UMa,0.73,0.16,6e+16,1.2e+17,A2,Dubus+2018_AA617_A26
ES Dra,0.58,0.12,2e+16,8e+16,A2,Dubus+2018_AA617_A26
EY Cyg,1.1,0.09,1.5e+16,1.8e+16,A2,Dubus+2018_AA617_A26
EZ Lyn,0.75,0.15,120000000000000.0,380000000000000.0,A2,Dubus+2018_AA617_A26
FH Lyn,0.75,0.09,3000000000000000.0,1.9e+16,A2,Dubus+2018_AA617_A26
FO And,0.75,0.15,1.9e+16,4.7e+16,A2,Dubus+2018_AA617_A26
FO Aql,0.55,0.11,3e+16,5e+16,A2,Dubus+2018_AA617_A26
FO Per,0.4,0.08,2.6e+17,4.5999999999999994e+17,A2,Dubus+2018_AA617_A26
FS Aur,0.55,0.11,1.6e+16,2.8e+16,A2,Dubus+2018_AA617_A26
FT Cam,0.75,0.15,90000000000000.0,160000000000000.0,A2,Dubus+2018_AA617_A26
GD 552,0.77,0.15,40000000000000.0,100000000000000.0,A2,Dubus+2018_AA617_A26
GY Cnc,0.99,0.12,1.1e+16,1.5e+16,A2,Dubus+2018_AA617_A26
HL CMa,0.83,0.1,1.3e+17,2.2000000000000003e+17,A2,Dubus+2018_AA617_A26
HM Leo,0.75,0.15,1200000000000000.0,4500000000000000.0,A2,Dubus+2018_AA617_A26
HS Vir,0.68,0.14,2200000000000000.2,3600000000000000.0,A2,Dubus+2018_AA617_A26
HW Boo,0.75,0.15,500000000000000.0,1800000000000000.0,A2,Dubus+2018_AA617_A26
HX Peg,0.75,0.15,1.1000000000000002e+17,1.9e+17,A2,Dubus+2018_AA617_A26
IR Gem,0.69,0.14,6000000000000000.0,9000000000000000.0,A2,Dubus+2018_AA617_A26
IX Dra,1.4,0.28,4000000000000000.0,1.8e+16,A2,Dubus+2018_AA617_A26
KS UMa,0.94,0.19,1700000000000000.0,2800000000000000.0,A2,Dubus+2018_AA617_A26
KT Per,0.75,0.15,5e+16,1.3999999999999998e+17,A2,Dubus+2018_AA617_A26
KV Dra,0.71,0.14,2000000000000000.0,4000000000000000.0,A2,Dubus+2018_AA617_A26
LL Lyr,0.75,0.15,3e+16,1.5e+17,A2,Dubus+2018_AA617_A26
LX And,0.75,0.15,3e+16,1.3999999999999998e+17,A2,Dubus+2018_AA617_A26
NY Ser,0.81,0.16,1.3e+16,5.4e+16,A2,Dubus+2018_AA617_A26
OU Vir,0.7,0.01,7000000000000000.0,2.1e+16,A2,Dubus+2018_AA617_A26
PU CMa,0.46,0.09,1900000000000000.0,3000000000000000.0,A2,Dubus+2018_AA617_A26
PY Per,0.75,0.15,5000000000000000.0,2e+16,A2,Dubus+2018_AA617_A26
QW Ser,0.85,0.17,1.4e+16,3.9e+16,A2,Dubus+2018_AA617_A26
QZ Ser,0.75,0.15,2000000000000000.0,1e+16,A2,Dubus+2018_AA617_A26
QZ Vir,0.71,0.02,1e+16,1e+17,A2,Dubus+2018_AA617_A26
RU LMi,0.75,0.15,7000000000000000.0,3.3e+16,A2,Dubus+2018_AA617_A26
RU Peg,1.06,0.04,1e+17,1.3999999999999998e+17,A2,Dubus+2018_AA617_A26
RX And,1.14,0.33,4e+16,9e+16,A2,Dubus+2018_AA617_A26
RY Ser,0.75,0.09,2e+16,8e+16,A2,Dubus+2018_AA617_A26
RZ LMi,1.0,0.2,1.5e+16,2.6e+16,A2,Dubus+2018_AA617_A26
SS Aur,1.08,0.4,3e+16,6.999999999999999e+16,A2,Dubus+2018_AA617_A26
SS Cyg,0.81,0.19,1.7e+17,2.7000000000000003e+17,A2,Dubus+2018_AA617_A26
SS UMi,0.66,0.13,9000000000000000.0,1.5e+16,A2,Dubus+2018_AA617_A26
ST Cha,0.75,0.15,2e+17,1.2e+18,A2,Dubus+2018_AA617_A26
SU UMa,0.68,0.16,2e+16,3.7e+16,A2,Dubus+2018_AA617_A26
SV CMi,0.75,0.15,3e+16,1.2e+17,A2,Dubus+2018_AA617_A26
SW UMa,0.71,0.22,5000000000000000.0,1.3e+16,A2,Dubus+2018_AA617_A26
SX LMi,0.67,0.13,1400000000000000.0,5000000000000000.0,A2,Dubus+2018_AA617_A26
SY Cnc,0.75,0.06,5e+17,2.5e+18,A2,Dubus+2018_AA617_A26
