name,domain,segment,mass_kg,power_density_w_per_kg,luminosity_w,mdot_kg_s,mass_msun,radius_m,eta,track,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,reference,data_source
lower,biology,Prokaryotes,7e-16,19.0,1.33e-14,,,,,,tabulated_erd,,,,"A.M. Makarieva, V.G. Gorshkov and B-L. Li, “Energetics of the smallest: Do bacteria breathe at the same rate as whale ?”, Proc. R. Soc. B, 272 (2005) 2219",van Duin (2024)
upper,biology,Prokaryotes,5.6e-12,0.08,4.48e-13,,,,,,tabulated_erd,,,,     ,van Duin (2024)
lower,biology,Prokaryotes,7e-16,1.87,1.31e-15,,,,,,tabulated_erd,,,,"A.M. Makarieva et al., “Mean mass-specific metabolic rates are strikingly similar across life’s major domains: Evidence for life’s metabolic optimum”, Proc. Natl. Acad. Sci. U.S.A., 105 (2008) 16994. ",van Duin (2024)
upper,biology,Prokaryotes,6e-12,5.54,3.32e-11,,,,,,tabulated_erd,,,,     ,van Duin (2024)
Gloeobacter violaceus,biology,Prokaryotes,7e-16,28.0,1.96e-14,,,,,,tabulated_erd,,,,"A.M. Makarieva et al., “Mean mass-specific metabolic rates are strikingly similar across life’s major domains: Evidence for life’s metabolic optimum”, Proc. Natl. Acad. Sci. U.S.A., 105 (2008) 16994. ",van Duin (2024)
Coccochloris peniocystis,biology,Prokaryotes,1e-15,8.5,8.5e-15,,,,,,tabulated_erd,,,,,van Duin (2024)
lower,biology,Eukaryotes,6e-15,9.17,5.5e-14,,,,,,tabulated_erd,,,,"A.M. Makarieva et al., “Mean mass-specific metabolic rates are strikingly similar across life’s major domains: Evidence for life’s metabolic optimum”, Proc. Natl. Acad. Sci. U.S.A., 105 (2008) 16994. ",van Duin (2024)
upper,biology,Eukaryotes,6e-09,7.98,4.79e-08,,,,,,tabulated_erd,,,,     ,van Duin (2024)
grasses,biology,Multicellular,5e-05,3.05,0.000152,,,,,,tabulated_erd,,,,"P.B. Reich et al., “Universal scaling of respiratory metabolism, size and nitrogen in plants” Nature, 439 (2006) 457.",van Duin (2024)
nan,biology,Multicellular,0.0075,2.51,0.0188,,,,,,tabulated_erd,,,,    ,van Duin (2024)
forbs,biology,Multicellular,5e-05,3.02,0.000151,,,,,,tabulated_erd,,,,,van Duin (2024)
nan,biology,Multicellular,0.0075,2.64,0.0198,,,,,,tabulated_erd,,,,,van Duin (2024)
Abies balsamifera,biology,Multicellular,0.005,0.1,0.000501,,,,,,tabulated_erd,,,,,van Duin (2024)
nan,biology,Multicellular,3.5,0.684,2.39,,,,,,tabulated_erd,,,,,van Duin (2024)
Acer rubrum,biology,Multicellular,0.005,0.182,0.000908,,,,,,tabulated_erd,,,,,van Duin (2024)
nan,biology,Multicellular,3.5,0.627,2.19,,,,,,tabulated_erd,,,,,van Duin (2024)
Betula papyrifera,biology,Multicellular,0.005,1.23,0.00616,,,,,,tabulated_erd,,,,,van Duin (2024)
