name,category,track,mass_kg,mass_msun,mdot_kg_s,radius_m,eta,luminosity_w,power_density_w_per_kg,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,dubus_table
2325+8205,cataclysmic_variables,gravitational,1.4913525e+30,0.75,105000000000000.0,8422886.219205303,,2.1624611249999998e+27,0.00145,tabulated_erd,,,,
2325+8205,cataclysmic_variables,nuclear,1.4913525e+30,0.75,105000000000000.0,8422886.219205303,0.007,6.60585056371561e+28,0.04429436074781522,computed_from_mdot,1.3919290000000002e+29,0.02315036276018217,0.06979153479172566,A2
AB Dra,cataclysmic_variables,gravitational,1.590776e+30,0.8,110000000000000.0,8243621.176203499,,2.2748096800000002e+27,0.00143,tabulated_erd,,,,
AB Dra,cataclysmic_variables,nuclear,1.590776e+30,0.8,110000000000000.0,8243621.176203499,0.007,6.920414876273496e+28,0.04350339002017566,computed_from_mdot,3.181552e+29,0.026365690921318585,0.06920993866846126,A2
AH Her,cataclysmic_variables,gravitational,1.8890465e+30,0.95,170000000000000.0,7784669.037536037,,3.5136264899999993e+27,0.0018599999999999999,tabulated_erd,,,,
AH Her,cataclysmic_variables,nuclear,1.8890465e+30,0.95,170000000000000.0,7784669.037536037,0.007,1.0695186626968129e+29,0.05661685208367359,computed_from_mdot,1.98847e+29,0.045198327293689,0.07072208858894867,A2
AM Cas,cataclysmic_variables,gravitational,1.0936585000000001e+30,0.55,95000000000000.0,9340292.110797748,,1.9576487149999998e+27,0.0017899999999999997,tabulated_erd,,,,
AM Cas,cataclysmic_variables,nuclear,1.0936585000000001e+30,0.55,95000000000000.0,9340292.110797748,0.007,5.976721938599837e+28,0.05464888663691487,computed_from_mdot,2.187317e+29,0.03355633389986,0.08628771574249716,A2
AQ Eri,cataclysmic_variables,gravitational,1.2925055e+30,0.65,14000000000000.0,8834396.822789857,,2.8952123200000005e+26,0.00022400000000000002,tabulated_erd,,,,
AQ Eri,cataclysmic_variables,nuclear,1.2925055e+30,0.65,14000000000000.0,8834396.822789857,0.007,8.807800751620812e+27,0.006814517038125418,computed_from_mdot,2.5850110000000002e+29,0.0036506341275671884,0.011560341403962763,A2
AR And,cataclysmic_variables,gravitational,1.4913525e+30,0.75,100000000000000.0,8422886.219205303,,2.05806645e+27,0.00138,tabulated_erd,,,,
AR And,cataclysmic_variables,nuclear,1.4913525e+30,0.75,100000000000000.0,8422886.219205303,0.007,6.291286251157723e+28,0.04218510547410973,computed_from_mdot,2.982705e+29,0.024607978193230674,0.06855079639542833,A2
AT Ara,cataclysmic_variables,gravitational,1.0538891e+30,0.53,1600000000000000.0,9456332.449434299,,3.298672883e+28,0.0313,tabulated_erd,,,,
AT Ara,cataclysmic_variables,nuclear,1.0538891e+30,0.53,1600000000000000.0,9456332.449434299,0.007,1.0066058001852356e+30,0.9551344635647485,computed_from_mdot,2.7838580000000004e+29,0.5194434629274705,1.7036292595313542,A2
AT Cnc,cataclysmic_variables,gravitational,1.4913525e+30,0.75,200000000000000.0,8422886.219205303,,4.1310464249999996e+27,0.00277,tabulated_erd,,,,
AT Cnc,cataclysmic_variables,nuclear,1.4913525e+30,0.75,200000000000000.0,8422886.219205303,0.007,1.2582572502315446e+29,0.08437021094821946,computed_from_mdot,2.982705e+29,0.024607978193230674,0.17401356008070262,A2
AY Lyr,cataclysmic_variables,gravitational,1.4913525e+30,0.75,40000000000000.0,8422886.219205303,,8.26209285e+26,0.000554,tabulated_erd,,,,
AY Lyr,cataclysmic_variables,nuclear,1.4913525e+30,0.75,40000000000000.0,8422886.219205303,0.007,2.516514500463089e+28,0.016874042189643893,computed_from_mdot,2.982705e+29,0.010546276368527433,0.02636569092131858,A2
BD Pav,cataclysmic_variables,gravitational,2.2867404999999997e+30,1.15,7000000000000.0,7304358.411165932,,1.4452199959999996e+26,6.319999999999999e-05,tabulated_erd,,,,
BD Pav,cataclysmic_variables,nuclear,2.2867404999999997e+30,1.15,7000000000000.0,7304358.411165932,0.007,4.403900375810406e+27,0.00192584177164414,computed_from_mdot,1.3919290000000002e+29,0.0015560079887991297,0.0023436169707838745,A2
BF Ara,cataclysmic_variables,gravitational,1.3322749000000001e+30,0.67,75000000000000.0,8745602.905229848,,1.5454388840000002e+27,0.00116,tabulated_erd,,,,
