sub_realm,group,system,mass_kg,er_w,power_density_w_per_kg,comments,reference,segment,color,data_source
i) bacteria,cyanobacteria: EMR (1),lower,7e-16,1.33e-14,19.0,"lower wet cell mass in pg with some original data for dry mass have been converted to wet mass by multiplying with 5; lower, endogenous ERin calculated by multiplying lower, endogenous metabolic rate in W/kg wet mass by mass in pg","A.M. Makarieva, V.G. Gorshkov and B-L. Li, “Energetics of the smallest: Do bacteria breathe at the same rate as whale ?”, Proc. R. Soc. B, 272 (2005) 2219",Prokaryotes,#946B3A,van Duin (2024)
i) bacteria,cyanobacteria: EMR (1),upper,5.6e-12,4.48e-13,0.08,"upper wet cell mass in pg with some original data for dry mass have been converted to wet mass by multiplying with 5; upper, endogenous ERin calculated by multiplying upper, endogenous metabolic rate in W/kg wet mass by mass in pg",     ,Prokaryotes,#946B3A,van Duin (2024)
i) bacteria,cyanobacteria: EMR (2),lower,7e-16,1.31e-15,1.87,lower wet body mass in pg; lower respiration rate in darkness calculated from specific  respiration rate in darkness via fitted equation times wet body mass in pg as ERin,"A.M. Makarieva et al., “Mean mass-specific metabolic rates are strikingly similar across life’s major domains: Evidence for life’s metabolic optimum”, Proc. Natl. Acad. Sci. U.S.A., 105 (2008) 16994. ",Prokaryotes,#946B3A,van Duin (2024)
i) bacteria,cyanobacteria: EMR (2),upper,6e-12,3.32e-11,5.54,upper wet body mass in pg; upper respiration rate in darkness calculated from specific  respiration rate in darkness times via fitted equation wet body mass in pg as ERin,     ,Prokaryotes,#946B3A,van Duin (2024)
i) bacteria,cyanobacteria: EMR (2),Gloeobacter violaceus,7e-16,1.96e-14,28.0,estimated wet body mass in pg; respiration rate in darkness calculated from specific  respiration rate in darkness times wet body mass in pg as ERin,"A.M. Makarieva et al., “Mean mass-specific metabolic rates are strikingly similar across life’s major domains: Evidence for life’s metabolic optimum”, Proc. Natl. Acad. Sci. U.S.A., 105 (2008) 16994. ",Prokaryotes,#946B3A,van Duin (2024)
i) bacteria,cyanobacteria: EMR (2),Coccochloris peniocystis,1e-15,8.5e-15,8.5,idem,,Prokaryotes,#946B3A,van Duin (2024)
ii) eukaryotes,eukaryotic micro-algae = unicellular: darkness,lower,6e-15,5.5e-14,9.17,lower wet body mass; lower respiration rate in darkness calculated from specific  respiration rate in darkness via fitted equation times wet body mass as ERin,"A.M. Makarieva et al., “Mean mass-specific metabolic rates are strikingly similar across life’s major domains: Evidence for life’s metabolic optimum”, Proc. Natl. Acad. Sci. U.S.A., 105 (2008) 16994. ",Eukaryotes,#527A96,van Duin (2024)
ii) eukaryotes,eukaryotic micro-algae = unicellular: darkness,upper,6e-09,4.79e-08,7.98,upper wet body mass; upper respiration rate in darkness calculated from specific  respiration rate in darkness via fitted equation times wet body mass as ERin,     ,Eukaryotes,#527A96,van Duin (2024)
ii) eukaryotes,herb seedlings: greenhouse,grasses,5e-05,0.000152,3.05,lower mass were calculated as 5 times lower dry mass data in g read from Figure 1a; lower ERin was calculated from CO2 production in nmol/s using fitted intercepts/exponents from table 2 with 6 CO2 for 1 glucose at 2880 kJ/mol,"P.B. Reich et al., “Universal scaling of respiratory metabolism, size and nitrogen in plants” Nature, 439 (2006) 457.",Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,herb seedlings: greenhouse,,0.0075,0.0188,2.51,upper mass were calculated as 5 times upper dry mass data in g read from Figure 1a; upper ERin was calculated from CO2 production in nmol/s using fitted intercepts/exponents from table 2 with 6 CO2 for 1 glucose at 2880 kJ/mol,    ,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,herb seedlings: greenhouse,forbs,5e-05,0.000151,3.02,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,herb seedlings: greenhouse,,0.0075,0.0198,2.64,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,US tree saplings: field,Abies balsamifera,0.005,0.000501,0.1,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,US tree saplings: field,,3.5,2.39,0.684,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,US tree saplings: field,Acer rubrum,0.005,0.000908,0.182,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,US tree saplings: field,,3.5,2.19,0.627,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,US tree saplings: field,Betula papyrifera,0.005,0.00616,1.23,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,US tree saplings: field,,3.5,0.662,0.189,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,US tree saplings: field,Pinus strobus,0.005,0.000854,0.171,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,US tree saplings: field,,3.5,1.98,0.566,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,tree seedlings: greenhouse,Betula alleghaniensis,5e-05,0.000164,3.28,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,tree seedlings: greenhouse,,0.05,0.0962,1.92,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,tree seedlings: greenhouse,Betula papyrifera,5e-05,0.000154,3.08,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,tree seedlings: greenhouse,,0.05,0.0976,1.95,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,tree seedlings: greenhouse,Larix laricina,5e-05,0.000112,2.24,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,tree seedlings: greenhouse,,0.05,0.126,2.52,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,tree seedlings: greenhouse,Picea glauca,5e-05,4.4e-05,0.88,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,tree seedlings: greenhouse,,0.05,0.22,4.4,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,tree seedlings: greenhouse,Pinus banksiana,5e-05,7.89e-05,1.58,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,tree seedlings: greenhouse,,0.05,0.169,3.37,,,Multicellular,#588B5C,van Duin (2024)
