name,mass_msun_somers,mass_spotless_msun,teff_k,lstar_lsun,log_macc,log_lacc,radius_au,dist_pc,reference,category,mass_calibration,spot_coverage_fraction,mass_msun,mass_kg,lacc_w,power_density_w_per_kg
Sz65,0.7690716939890712,0.661,4060,0.869,-9.48,-2.57,21.4858,153.47,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.7690716939890712,1.5292759913464482e+30,1.0303195229432236e+24,6.737302676386626e-07
Sz66,0.3385777049180328,0.291,3415,0.216,-8.508,-1.76,12.4736,155.92,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.3385777049180328,6.732516088983607e+29,6.652301572452609e+24,9.880855068935887e-06
J15445789-3423392,0.1012242622950819,0.087,3125,0.02,-10.68,-4.08,153.95,,,young_stellar_objects,somers_2020_spots,0.17,0.1012242622950819,2.012814088459015e+29,3.183991715781024e+22,1.581860805743191e-07
J15450887-3417333,0.1070417486338797,0.092,3060,0.059,-8.156,-1.77,18.5772,154.81,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.1070417486338797,2.1284930590601078e+29,6.500876701623557e+24,3.054215598191422e-05
Sz69,0.1745245901639344,0.15,3197,0.087,-9.344,-2.77,9.1536,152.56,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.1745245901639344,3.470369118032786e+29,6.500876701623557e+23,1.8732522335574046e-06
Sz71,0.481687868852459,0.414,3632,0.327,-9.033,-2.17,69.84,155.2,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.481687868852459,9.578218765770491e+29,2.5880456298005067e+24,2.702011400125208e-06
Sz72,0.4351479781420765,0.374,3560,0.272,-8.601,-1.77,10.9697,156.71,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.4351479781420765,8.65278700096175e+29,6.500876701623557e+24,7.51304371747622e-06
Sz73,0.8516800000000001,0.732,4060,0.466,-8.05,-0.96,31.564,157.82,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.8516800000000001,1.6935401296000002e+30,4.197318534836112e+25,2.478428743124902e-05
Sz75,0.8319005464480875,0.715,4205,1.602,-7.44,-0.69,154.1,,,young_stellar_objects,somers_2020_spots,0.17,0.8319005464480875,1.6542092795956286e+30,7.81577285219496e+25,4.7247787499448223e-05
Sz76,0.2187374863387978,0.188,3270,0.172,-9.109,-2.55,156.4,,,young_stellar_objects,somers_2020_spots,0.17,0.2187374863387978,4.3495292946010925e+29,1.0788769860880333e+24,2.4804453838883275e-06
Sz77,0.8132845901639345,0.699,4060,0.593,-8.69,-1.67,155.25,,,young_stellar_objects,somers_2020_spots,0.17,0.8132845901639345,1.617192009003279e+30,8.184118878614546e+24,5.060697080527036e-06
Sz81A,0.2187374863387978,0.188,3200,0.244,-8.886,-2.44,158.23,,,young_stellar_objects,somers_2020_spots,0.17,0.2187374863387978,4.3495292946010925e+29,1.3898627936599482e+24,3.195432653793441e-06
Sz82,1.0099156284153006,0.868,4350,2.514,-7.85,-1.05,155.82,,,young_stellar_objects,somers_2020_spots,0.17,1.0099156284153006,2.0081869296349728e+30,3.411708591175978e+25,1.6988999085837706e-05
Sz83,0.7341667759562842,0.631,4060,1.46,-7.0,-0.25,47.4,158.5,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.7341667759562842,1.4598686089857925e+30,2.1526425928286564e+26,0.0001474545434827968
Sz84,0.1733610928961748,0.149,3125,0.139,-9.077,-2.68,37.92,158.5,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.1733610928961748,3.447233323912567e+29,7.99782558890926e+23,2.320070861879412e-06
Sz129,0.8609879781420766,0.74,4060,0.421,-8.27,-1.13,49.6403,160.13,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.8609879781420766,1.712048764896175e+30,2.8377356036999132e+25,1.657508630527825e-05
J15592523-4235066,0.0988972677595628,0.085,3125,0.02,-11.02,-4.42,147.25,,,young_stellar_objects,somers_2020_spots,0.17,0.0988972677595628,1.9665425002185782e+29,1.4553650091151084e+22,7.400628305532917e-08
RYLup,1.627732677595629,1.399,4900,1.844,-8.05,-0.85,99.54,158.5,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,1.627732677595629,3.23669759741858e+30,5.407193720815904e+25,1.6705897162368204e-05
J16000060-4221567,0.1733610928961748,0.149,3200,0.097,-9.583,-3.04,46.2347,159.43,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.1733610928961748,3.447233323912567e+29,3.491177493054422e+23,1.012747663129451e-06
J16000236-4222145,0.2199009836065574,0.189,3270,0.171,-9.484,-2.92,80.195,160.39,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.2199009836065574,4.3726650887213124e+29,4.602268255715457e+23,1.0525087474882022e-06
J16002612-4153553,0.1256577049180328,0.108,3060,0.078,-9.621,-3.22,163.17,,,young_stellar_objects,somers_2020_spots,0.17,0.1256577049180328,2.4986657649836068e+29,2.3065980954926405e+23,9.231319081637049e-07
Sz130,0.4584179234972678,0.394,3560,0.177,-9.097,-2.14,27.0606,159.18,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.4584179234972678,9.115502883366121e+29,2.773140855167061e+24,3.0422247578106315e-06
MYLup,1.35780131147541,1.167,5100,0.86,-8.0,-0.65,61.62,158.5,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,1.35780131147541,2.6999471738295083e+30,8.569824518439604e+25,3.174071182394459e-05
Sz131,0.3502126775956284,0.301,3415,0.15,-9.171,-2.34,19.2744,160.62,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.3502126775956284,6.963874030185792e+29,1.7497335898457424e+24,2.512586503232685e-06
EXLup,0.6631934426229509,0.57,3850,0.731,-7.81,-0.91,154.72,,,young_stellar_objects,somers_2020_spots,0.17,0.6631934426229509,1.318740264852459e+30,4.709468854669797e+25,3.5711875796836255e-05
